,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
515,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel El Patio
516,Mkushi,ZM,61.95,broken clouds,-13.6202,29.3939,Shalom Lodge
517,Nurota,UZ,41.41,few clouds,40.5614,65.6886,Nurota
518,Mackay,AU,76.68,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
519,Kavieng,PG,83.52,overcast clouds,-2.5744,150.7967,Kavieng Hotel
520,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,The Adventures Inn
521,Progreso,MX,89.71,scattered clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
522,Pasighat,IN,61.47,clear sky,28.0667,95.3333,Aane Hotel
523,U Thong,TH,75.67,overcast clouds,14.3751,99.8923,Baandin Rimnum Resort
526,Obidos,BR,77.83,overcast clouds,-1.9175,-55.5181,Hotel Brás Belo
527,Zeerust,ZA,66.4,scattered clouds,-25.5369,26.0751,At Rest Guesthouse
528,North Platte,US,24.69,broken clouds,41.1239,-100.7654,Ramada
535,College,US,-4.11,broken clouds,64.8569,-147.8028,BEST WESTERN PLUS Pioneer Park Inn
536,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
537,Dryden,CA,19.69,overcast clouds,49.7833,-92.7503,Holiday Inn Express
539,Soe,ID,66.9,overcast clouds,-9.8607,124.284,DENA
542,Ocosingo,MX,67.3,light rain,17.0667,-92.25,Chilum Banak Chawuk
543,Marsh Harbour,BS,76.87,few clouds,26.5412,-77.0636,Lofty Fig Villas
545,Margate,GB,46.69,overcast clouds,51.3813,1.3862,The Reading Rooms
548,Constitucion,CL,62.2,scattered clouds,-35.3333,-72.4167,Hostal Alameda
550,Kutulik,RU,1.94,overcast clouds,53.3508,102.7839,Гостиница
551,Grand Gaube,MU,72.37,scattered clouds,-20.0064,57.6608,Coco Villa
552,Ketchikan,US,27.07,broken clouds,55.3422,-131.6461,Cape Fox Lodge
553,Vila Velha,BR,73.35,mist,-20.3297,-40.2925,Hotel Prainha
555,Palm Coast,US,73.49,clear sky,29.585,-81.2078,Days Inn
557,Palembang,ID,75.29,mist,-2.9167,104.7458,OYO 183 The Pipe House
559,Nuoro,IT,42.66,light rain,40.3211,9.3297,Euro Hotel
562,Akyab,MM,76.21,few clouds,20.15,92.9,Yuzana Aung Motel 1
564,Port Augusta,AU,64.96,few clouds,-32.5,137.7667,Hotel Commonwealth
567,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
568,Verkhoyansk,RU,-26.86,overcast clouds,67.5447,133.385,Полюс холода
570,Kyzyl-Suu,KG,29.39,broken clouds,42.3414,78.0056,кафе суусая
571,Mindelo,CV,74.75,scattered clouds,16.8901,-24.9804,Solar Windelo
572,Klamath Falls,US,36.88,clear sky,42.2249,-121.7817,Fairfield Inn & Suites Klamath Falls
573,Perth,AU,82.58,light intensity shower rain,-31.9333,115.8333,Oxford Hotel
574,Coxim,BR,89.85,overcast clouds,-18.5067,-54.76,Avendita
575,Alvand,IR,36.95,overcast clouds,36.3187,49.1678,هتل لاله
576,Cockburn Town,TC,80.62,few clouds,21.4612,-71.1419,The Salt Raker Inn
577,Baraolt,RO,34.75,broken clouds,46.0751,25.6003,Dániel kastély
578,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Tara-Mé
581,Ebetsu,JP,37.49,light shower snow,43.1081,141.5506,チャダ
582,Marawi,PH,67.55,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
585,Coquimbo,CL,64.13,broken clouds,-29.9533,-71.3436,Hotel Iberia
587,Erenhot,CN,2.34,clear sky,43.6475,111.9767,Oulen hotel
588,Riyadh,SA,62.74,overcast clouds,24.6877,46.7219,White Palace Hotel
589,Saint-Denis,FR,45.99,mist,48.9167,2.3333,Hôtel de France
591,Paracuru,BR,80.11,broken clouds,-3.41,-39.0306,Pousada Sol e Lua
594,Yulara,AU,69.87,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
595,Ceska Ves,CZ,34.41,overcast clouds,50.2574,17.2281,Hotel ZLATÝ CHLUM
597,San Juan,AR,95.67,clear sky,-31.5375,-68.5364,Hotel San Francisco
598,Salinas,US,62.8,clear sky,36.6777,-121.6555,The Traveler's Hotel
599,Abancay,PE,64.49,broken clouds,-13.6339,-72.8814,Hotel Turistas
600,Lake City,US,76.71,broken clouds,30.1897,-82.6393,Cypress Inn
603,Tilichiki,RU,16.27,overcast clouds,60.4667,166.1,Тиличики
604,North Branch,US,24.94,light snow,45.5113,-92.9802,AmericInn
605,Qixia,CN,21.67,scattered clouds,37.2975,120.8256,グランドセンチュリーホテル
607,Whitecourt,CA,4.24,overcast clouds,54.1502,-115.6855,Microtel Inn & Suites by Wyndham Whitecourt
609,Inhambane,MZ,69.42,scattered clouds,-23.865,35.3833,Hotel de Inhambane
611,Rio Grande,BR,75.31,few clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
616,Premia De Mar,ES,57.31,scattered clouds,41.4921,2.3652,Hotel Sorli Emocions
618,Half Moon Bay,US,60.8,clear sky,37.4636,-122.4286,Half Moon Bay Inn
620,Seoul,KR,22.44,clear sky,37.5683,126.9778,뉴국제호텔
621,Sibenik,HR,47.86,overcast clouds,43.7272,15.9058,D-Resort Sibenik
623,Thibodaux,US,80.58,clear sky,29.7958,-90.8229,Days Inn & Suites Bayou Land
624,Mahibadhoo,MV,80.08,overcast clouds,3.7833,72.9667,Coral View Inn
625,Ilhabela,BR,71.17,overcast clouds,-23.7781,-45.3581,Vila Kebaya
626,Guijalo,PH,79.65,scattered clouds,13.7373,123.868,Sights and Sands
630,Kilindoni,TZ,79.02,scattered clouds,-7.9139,39.6668,Ibizza Inn
631,Rudnya,RU,24.49,overcast clouds,54.947,31.0934,Парадокс
632,Andenes,NO,39.92,broken clouds,69.3143,16.1194,Andrikken hotell
633,Tucuman,AR,87.8,light rain,-26.8241,-65.2226,Suites San Luis
636,Vestmannaeyjar,IS,45.9,overcast clouds,63.4427,-20.2734,Hotel Vestmannaeyjar
638,Labuan,MY,77.36,few clouds,5.2767,115.2417,Labuan Avenue Hotel
639,Siteki,SZ,68.0,broken clouds,-26.45,31.95,Siteki hotel
642,Valparaiso,CL,64.63,overcast clouds,-33.0393,-71.6273,Ibis Hotel
643,Carmen,MX,86.04,scattered clouds,18.6333,-91.8333,Holiday Inn Express
644,Solnechnyy,RU,3.65,overcast clouds,50.7214,136.6319,Заря
646,Tullow,IE,47.12,overcast clouds,52.8003,-6.7369,Mount Wolseley Hotel Spa & Country Club
650,Manaure,CO,81.61,overcast clouds,11.7751,-72.4445,hotel palaima
653,Barra Dos Coqueiros,BR,75.22,moderate rain,-10.9089,-37.0386,Grande Hotel
654,Charlestown,AU,71.02,clear sky,-32.95,151.6667,Warners Bay Hotel
655,Arrifes,PT,62.24,broken clouds,37.7667,-25.7,S. Miguel Park Hotel
657,Baghdad,IQ,67.91,clear sky,33.3406,44.4009,AL Bedaa Hotel
658,Uglegorsk,RU,16.48,overcast clouds,49.0833,142.0333,Приморская
660,Weihai,CN,29.71,overcast clouds,37.5017,122.1136,Huakun
665,Voh,NC,89.29,broken clouds,-20.9667,164.7,Le Vook
666,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,ユインチホテル南城
669,Gemena,CD,71.06,overcast clouds,3.25,19.7667,La Joie
670,Liezen,AT,32.99,overcast clouds,47.5667,14.2333,Schnuderl
673,Lavrentiya,RU,28.17,light snow,65.5833,-171.0,Фортуна
675,Tagusao,PH,79.34,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
677,Gualaceo,EC,67.66,light rain,-2.9,-78.7833,HOSTAL EL JARDIN
